id,code_prefix_start,name,name@ca
account_group_292,292,Deteriorament de valor de les inversions immobiliaries,Deteriorament de valor de les inversions immobiliaries
account_group_293,293,Deteriorament de valor de participacions a llarg termini en parts vinculades,Deteriorament de valor de participacions a llarg termini en parts vinculades
account_group_294,294,Deteriorament de valor de valors representatius de deute a llarg termini de parts vinculades,Deteriorament de valor de valors representatius de deute a llarg termini de parts vinculades
account_group_295,295,Deteriorament de valor de crèdits a llarg termini a parts vinculades,Deteriorament de valor de crèdits a llarg termini a parts vinculades
account_group_296,296,Deteriorament de valor de participacions en el patrimoni net a llarg termini,Deteriorament de valor de participacions en el patrimoni net a llarg termini
account_group_297,297,Deteriorament de valor de valors representatius de deute a llarg termini,Deteriorament de valor de valors representatius de deute a llarg termini
account_group_298,298,Deteriorament de valor de crèdits a llarg termini,Deteriorament de valor de crèdits a llarg termini
account_group_3,3,Existències,Existències
account_group_30,30,Comercials,Comercials
account_group_300,300,Mercaderies A,Mercaderies A
account_group_301,301,Mercaderies B,Mercaderies B
account_group_31,31,Matèries primeres,Matèries primeres
account_group_310,310,Matèries primeres A,Matèries primeres A
account_group_311,311,Matèries primeres B,Matèries primeres B
account_group_32,32,Altres aprovisionaments,Altres aprovisionaments
account_group_320,320,Elements i conjunts incorporables,Elements i conjunts incorporables
account_group_321,321,Combustibles,Combustibles
account_group_322,322,Recanvis,Recanvis
account_group_325,325,Materials diversos,Materials diversos
account_group_326,326,Embalatges,Embalatges
account_group_327,327,Envasos,Envasos
account_group_328,328,Material d'oficina,Material d'oficina
account_group_33,33,Productes en curs,Productes en curs
account_group_330,330,Productes en curs A,Productes en curs A
account_group_331,331,Productes en curs B,Productes en curs B
account_group_34,34,Productes semiacabats,Productes semiacabats
account_group_340,340,Productes semiacabats A,Productes semiacabats A
account_group_341,341,Productes semiacabats B,Productes semiacabats B
account_group_35,35,Productes acabats,Productes acabats
account_group_350,350,Productes acabats A,Productes acabats A
account_group_351,351,Productes acabats B,Productes acabats B
account_group_36,36,"Subproductes, residus i materials recuperats","Subproductes, residus i materials recuperats"
account_group_360,360,Subproductes A,Subproductes A
account_group_361,361,Subproductes B,Subproductes B
account_group_365,365,Residus A,Residus A
account_group_366,366,Residus B,Residus B
account_group_368,368,Materials recuperats A,Materials recuperats A
account_group_369,369,Materials recuperats B,Materials recuperats B
account_group_39,39,Deteriorament de valor de las existències,Deteriorament de valor de las existències
account_group_390,390,Deteriorament de valor de las mercaderies,Deteriorament de valor de las mercaderies
account_group_391,391,Deteriorament de valor de las materies primeres,Deteriorament de valor de las materies primeres
account_group_392,392,Deteriorament de valor d'altres aprovisionaments,Deteriorament de valor d'altres aprovisionaments
account_group_393,393,Deteriorament de valor de los productes en curs,Deteriorament de valor de los productes en curs
account_group_394,394,Deteriorament de valor dels productes semiacabats,Deteriorament de valor dels productes semiacabats
account_group_395,395,Deteriorament de valor dels productes acabats,Deteriorament de valor dels productes acabats
